Name,Rank,Sector,User Rating
"GITAM University, Visakhapatnam (GITAM University) - GITAM University, Visakhapatnam",Ph.D Biology,Private,https://www.careers360.com/university/gitam-university-visakhapatnam?icn=college_page&ici=clg_893_college_listing_tuple
"GNDU Amritsar - Guru Nanak Dev University, Amritsar",MA Marathi,Public/Govt,https://www.careers360.com/university/guru-nanak-dev-university-amritsar?icn=college_page&ici=clg_635_college_listing_tuple
"Gauhati University - Gauhati University, Guwahati",B.Tech Electrical Engineering,Public/Govt,https://www.careers360.com/university/gauhati-university-guwahati?icn=college_page&ici=clg_912_college_listing_tuple
"Global College of Engineering and Technology, Ropar",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/colleges/global-college-of-engineering-and-technology-ropar?icn=college_page&ici=clg_2466_college_listing_tuple
"Graphic Era University, Dehradun",MBA,Private,https://www.careers360.com/university/graphic-era-university-dehradun?icn=college_page&ici=clg_559_college_listing_tuple
"Gujarat University - Gujarat University, Ahmedabad",MBA,Public/Govt,https://www.careers360.com/university/gujarat-university-ahmedabad?icn=college_page&ici=clg_903_college_listing_tuple
"Guru Nanak Institute of Technology, Ambala",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/colleges/guru-nanak-institute-of-technology-ambala?icn=college_page&ici=clg_2481_college_listing_tuple
"Guru Nanak Institute of Technology, Ambala",B.Tech M.Tech Chemical Engineering,Private,https://www.careers360.com/colleges/guru-nanak-institute-of-technology-ambala?icn=college_page&ici=clg_2481_college_listing_tuple
"Guru Tegh Bahadur 4th Centenary Engineering College, New Delhi",BCA,Private,https://www.careers360.com/colleges/guru-tegh-bahadur-4th-centenary-engineering-college-new-delhi?icn=college_page&ici=clg_52127_college_listing_tuple
"Homi Bhabha National Institute, Mumbai",Diploma in Medical Radioisotope Techniques,Public/Govt,https://www.careers360.com/university/homi-bhabha-national-institute-mumbai?icn=college_page&ici=clg_991_college_listing_tuple
"ICT Mumbai - Institute of Chemical Technology, Mumbai",BE Chemical Engineering,Public/Govt,https://www.careers360.com/university/institute-of-chemical-technology-mumbai?icn=college_page&ici=clg_224_college_listing_tuple
IIEST Shibpur - Indian Institute of Engineering Science and Technology Shibpur,BE Computer Science and Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-engineering-science-and-technology-shibpur?icn=college_page&ici=clg_252_college_listing_tuple
IIM Kozhikode - Indian Institute of Management Kozhikode,B.Tech Computer Science Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-management-kozhikode?icn=college_page&ici=clg_439_college_listing_tuple
IISER Bhopal - Indian Institute of Science Education and Research Bhopal,BA Visual Arts and Photography,Public/Govt,https://www.careers360.com/university/indian-institute-of-science-education-and-research-bhopal?icn=college_page&ici=clg_119_college_listing_tuple
IISER Kolkata - Indian Institute of Science Education and Research Kolkata,BS and MS Biological Sciences Dual Degree,Public/Govt,https://www.careers360.com/university/indian-institute-of-science-education-and-research-kolkata?icn=college_page&ici=clg_120_college_listing_tuple
IISER Mohali - Indian Institute of Science Education and Research Mohali,BA LLB Hons Integrated,Public/Govt,https://www.careers360.com/university/indian-institute-of-science-education-and-research-mohali?icn=college_page&ici=clg_15_college_listing_tuple
IISER Pune - Indian Institute of Science Education and Research Pune,BS and MS Biology Dual Degree,Public/Govt,https://www.careers360.com/university/indian-institute-of-science-education-and-research-pune?icn=college_page&ici=clg_121_college_listing_tuple
IISER TVM - Indian Institute of Science Education and Research Thiruvananthapuram,"PG Diploma in Adult, Continuing Education and Education Vocational",Public/Govt,https://www.careers360.com/university/indian-institute-of-science-education-and-research-thiruvananthapuram?icn=college_page&ici=clg_118_college_listing_tuple
"IISc Bangalore - Indian Institute of Science, Bangalore",M.Tech Computer Science and Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-science-bangalore?icn=college_page&ici=clg_414_college_listing_tuple
IIT BHU - Indian Institute of Technology Banaras Hindu University Varanasi,B.Tech Chemical Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-banaras-hindu-university-varanasi?icn=college_page&ici=clg_103_college_listing_tuple
IIT Bhubaneswar - Indian Institute of Technology Bhubaneswar,B.Tech Civil Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-bhubaneswar?icn=college_page&ici=clg_110_college_listing_tuple
IIT Bombay - Indian Institute of Technology Bombay,B.Tech Mechanical Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-bombay?icn=college_page&ici=clg_116_college_listing_tuple
IIT Delhi - Indian Institute of Technology Delhi,B.Tech Electrical Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-delhi?icn=college_page&ici=clg_2_college_listing_tuple
IIT Dhanbad - Indian Institute of Technology Indian School of Mines Dhanbad,B.Tech Computer Science and Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-indian-school-of-mines-dhanbad?icn=college_page&ici=clg_226_college_listing_tuple
IIT Gandhinagar - Indian Institute of Technology Gandhinagar,B.Tech Chemical Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-gandhinagar?icn=college_page&ici=clg_108_college_listing_tuple
IIT Guwahati - Indian Institute of Technology Guwahati,B.Tech Mechanical Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-guwahati?icn=college_page&ici=clg_113_college_listing_tuple
IIT Hyderabad - Indian Institute of Technology Hyderabad,B.Tech Computer Science and Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-hyderabad?icn=college_page&ici=clg_109_college_listing_tuple
IIT Indore - Indian Institute of Technology Indore,B.Tech Mechanical Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-indore?icn=college_page&ici=clg_104_college_listing_tuple
IIT Kanpur - Indian Institute of Technology Kanpur,B.Tech Electrical Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-kanpur?icn=college_page&ici=clg_114_college_listing_tuple
IIT Kharagpur - Indian Institute of Technology Kharagpur,B.Tech Mechanical Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-kharagpur?icn=college_page&ici=clg_117_college_listing_tuple
IIT Madras - Indian Institute of Technology Madras,B.Tech Mechanical Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-madras?icn=college_page&ici=clg_115_college_listing_tuple
IIT Mandi - Indian Institute of Technology Mandi,B.Sc Nursing,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-mandi?icn=college_page&ici=clg_105_college_listing_tuple
IIT Patna - Indian Institute of Technology Patna,Diploma in Environment Health and Safety Management,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-patna?icn=college_page&ici=clg_107_college_listing_tuple
IIT Roorkee - Indian Institute of Technology Roorkee,B.Tech Civil Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-roorkee?icn=college_page&ici=clg_112_college_listing_tuple
IIT Ropar - Indian Institute of Technology Ropar,B.Tech Computer Science and Engineering,Public/Govt,https://www.careers360.com/university/indian-institute-of-technology-ropar?icn=college_page&ici=clg_111_college_listing_tuple
"JCE Chennai - Jerusalem College of Engineering, Chennai",B.Tech Information Technology,Private,https://www.careers360.com/colleges/jerusalem-college-of-engineering-chennai?icn=college_page&ici=clg_4109_college_listing_tuple
"JCT College of Engineering and Technology, Pichanur",B.Tech Mechanical Engineering,Private,https://www.careers360.com/colleges/jct-college-of-engineering-and-technology-pichanur?icn=college_page&ici=clg_4113_college_listing_tuple
JIPMER Puducherry - Jawaharlal Institute of Postgraduate Medical Education and Research Puducherry,B.Tech Computer Science and Engineering,Public/Govt,https://www.careers360.com/university/jawaharlal-institute-of-postgraduate-medical-education-and-research-puducherry?icn=college_page&ici=clg_616_college_listing_tuple
"JMI New Delhi - Jamia Millia Islamia, New Delhi",B.Ed,Public/Govt,https://www.careers360.com/university/jamia-millia-islamia-new-delhi?icn=college_page&ici=clg_596_college_listing_tuple
"JNU Delhi - Jawaharlal Nehru University, New Delhi",MA Politics with Specialization in International Studies,Public/Govt,https://www.careers360.com/university/jawaharlal-nehru-university-new-delhi?icn=college_page&ici=clg_876_college_listing_tuple
"JPIET Meerut - JP Institute of Engineering and Technology, Meerut",B.Tech Electronics and Communications Engineering,Private,https://www.careers360.com/colleges/jp-institute-of-engineering-and-technology-meerut?icn=college_page&ici=clg_2407_college_listing_tuple
"JSPM's Rajarshi Shahu College of Engineering Tathawade - Rajarshi Shahu College of Engineering, Tathawade",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/colleges/rajarshi-shahu-college-of-engineering-tathawade?icn=college_page&ici=clg_3422_college_listing_tuple
"JSS Academy of Higher Education and Research, Mysuru",M.Sc Chemistry,Private,https://www.careers360.com/university/jss-academy-of-higher-education-and-research-mysuru?icn=college_page&ici=clg_896_college_listing_tuple
"Jadavpur University, Kolkata",BE Civil Engineering,Public/Govt,https://www.careers360.com/university/jadavpur-university-kolkata?icn=college_page&ici=clg_892_college_listing_tuple
"Jain University, Bangalore",B.Tech and M.Tech Chemical Engineering,Private,https://www.careers360.com/university/jain-university-bangalore?icn=college_page&ici=clg_1121_college_listing_tuple
"Jamia Hamdard, New Delhi",MBBS,Private,https://www.careers360.com/university/jamia-hamdard-new-delhi?icn=college_page&ici=clg_217_college_listing_tuple
"Jammu University - University of Jammu, Jammu",B.Tech Electrical and Computer Engineering,Public/Govt,https://www.careers360.com/university/university-of-jammu-jammu?icn=college_page&ici=clg_472_college_listing_tuple
"Jeppiaar Institute of Technology, Kunnam",BE Civil Engineering,Private,https://www.careers360.com/colleges/jeppiaar-institute-of-technology-kunnam?icn=college_page&ici=clg_4110_college_listing_tuple
"Joginpally B R Engineering College, Moinabad",BE Artificial Intelligence and Data Science,Private,https://www.careers360.com/colleges/joginpally-b-r-engineering-college-moinabad?icn=college_page&ici=clg_4097_college_listing_tuple
"John Bosco Engineering College, Tiruvallur",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/colleges/john-bosco-engineering-college-tiruvallur?icn=college_page&ici=clg_4095_college_listing_tuple
"KBR Engineering College, Nalgonda",BE Computer Engineering,Private,https://www.careers360.com/colleges/kbr-engineering-college-nalgonda?icn=college_page&ici=clg_4014_college_listing_tuple
"KCE Kurnool - Kottam College of Engineering, Kurnool",BE Computer Engineering,Private,https://www.careers360.com/colleges/kottam-college-of-engineering-kurnool?icn=college_page&ici=clg_3971_college_listing_tuple
"KCMT Bareilly - Khandelwal College of Management Science and Technology, Bareilly",B.Tech Mechanical Engineering,Private,https://www.careers360.com/colleges/khandelwal-college-of-management-science-and-technology-bareilly?icn=college_page&ici=clg_2413_college_listing_tuple
"KGCE Karjat - Konkan Gyanpeeth College of Engineering, Karjat",BE Civil Engineering,Private,https://www.careers360.com/colleges/konkan-gyanpeeth-college-of-engineering-karjat?icn=college_page&ici=clg_3975_college_listing_tuple
"KGEC Nadia - Kalyani Government Engineering College, Nadia",B.Tech Electronics and Communication Engineering,Public/Govt,https://www.careers360.com/colleges/kalyani-government-engineering-college-nadia?icn=college_page&ici=clg_4041_college_listing_tuple
"KGMU Lucknow - King George's Medical University, Lucknow",MBA,Public/Govt,https://www.careers360.com/university/king-georges-medical-university-lucknow?icn=college_page&ici=clg_607_college_listing_tuple
"KIIT University - Kalinga Institute of Industrial Technology, Bhubaneswar",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/university/kalinga-institute-of-industrial-technology-bhubaneswar?icn=college_page&ici=clg_214_college_listing_tuple
"KIMS Karad - Krishna Institute of Medical Sciences, Karad",MBA,Private,https://www.careers360.com/university/krishna-institute-of-medical-sciences-karad?icn=college_page&ici=clg_615_college_listing_tuple
"KIRC Kalol - Kalol Institute of Technology and Research Centre, Kalol",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/colleges/kalol-institute-of-technology-and-research-centre-kalol?icn=college_page&ici=clg_4045_college_listing_tuple
"KITE Raipur - Kruti Institute of Technology and Engineering, Raipur",Diploma in Civil Engineering,Private,https://www.careers360.com/colleges/kruti-institute-of-technology-and-engineering-raipur?icn=college_page&ici=clg_3954_college_listing_tuple
"KK Wagh Institute of Engineering Education and Research, Nashik",BE Computer Science and Engineering,Private,https://www.careers360.com/colleges/kk-wagh-institute-of-engineering-education-and-research-nashik?icn=college_page&ici=clg_4082_college_listing_tuple
"KL University Guntur - Koneru Lakshmaiah Education Foundation, Guntur",MBA,Private,https://www.careers360.com/university/koneru-lakshmaiah-education-foundation-guntur?icn=college_page&ici=clg_33_college_listing_tuple
"KLE Deemed University - KLE Academy of Higher Education and Research, Belgaum",MBA,Private,https://www.careers360.com/university/kle-academy-of-higher-education-and-research-belgaum?icn=college_page&ici=clg_751_college_listing_tuple
"KLEIT Hubli - KLE Institute of Technology, Hubli",B.Tech Information Technology,Private,https://www.careers360.com/colleges/kle-institute-of-technology-hubli?icn=college_page&ici=clg_4075_college_listing_tuple
"KNP Bhopal - Kailash Narayan Patidar College of Science and Technology, Bhopal",BE Civil Engineering,Private,https://www.careers360.com/colleges/kailash-narayan-patidar-college-of-science-and-technology-bhopal?icn=college_page&ici=clg_4060_college_listing_tuple
"KNSIT Bangalore - KNS Institute of Technology, Bangalore",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/colleges/kns-institute-of-technology-bangalore?icn=college_page&ici=clg_4071_college_listing_tuple
